Model,type,Persona,persona_index,Persona_Content,temp,run,openeness,consciencienes,extraversion,agreeableness,neuroticism,self_regulation,CCT_cold_avg
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",1,3,2.9,4.67,3,3.22,2.25,260.82,19.07407407
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,1,3.4,4.56,3.5,3.33,2.88,223.02,26.62962963
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,2,3.5,4.78,3.38,3.11,2.88,219.87,26.51851852
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,3,3.3,4.67,3.12,3.11,2.75,226.8,26.18518519
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,1,3.8,4.44,3,3.11,2.88,216.72,23.25925926
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,2,3.4,4.33,3.5,3.33,2.5,228.06,22.88888889
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,3,3.2,4.33,2.62,3.56,2.62,233.1,23.11111111
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,1,3.5,4.11,3.25,3.56,3.5,228.06,21.55555556
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,2,3.4,4.44,3.88,2.67,3.12,228.06,21.25925926
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,3,2.7,4,3,2.89,2.62,228.06,21.22222222
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,1,3.3,4.78,3.38,3.56,2.62,231.21,25.55555556
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,2,3.1,4.67,3.38,3.11,2.25,226.8,26
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,3,3.2,4.78,3,3.22,2.12,231.84,25.77777778
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,1,2.9,4.56,3.38,3.22,3,238.14,22.33333333
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,2,3,4.67,2.75,2.67,2.62,228.69,22.14814815
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,3,3.3,4.67,3,3.56,2.75,226.8,22.22222222
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,1,3.1,4,3.38,3.22,2.75,214.2,21.55555556
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,2,3.2,4.33,3.25,3.11,2.62,224.91,22.85185185
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,3,3,4.56,3.62,2.89,2.5,233.73,20.40740741
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,1,3.3,4.89,3.12,3.67,2.5,219.24,22.96296296
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,2,3.3,4.89,3.12,3.56,2.12,221.13,24.66666667
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,3,3,4.89,3.12,3.56,2.25,219.87,24.88888889
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,1,3.4,4.22,3.12,3.56,3,224.91,20.48148148
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,2,2.9,4.56,3,3.22,2.62,228.06,23.77777778
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,3,3,4.11,3.12,3,2.88,226.17,21.48148148
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",1,1,2.9,4.33,3.12,3.78,2.75,224.28,21.88888889
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",1,2,3.8,3.67,2.88,4.11,2.38,228.69,18.88888889
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",1,3,2.4,4.33,3.12,2.67,2.62,226.17,19.92592593
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,1,3,4.89,3.12,3.11,2.38,238.14,27.88888889
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,2,3.1,4.89,3,3.56,2.25,238.14,28.44444444
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,3,3.3,4.89,3,3.11,2.25,236.88,28.44444444
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,1,3.1,4.89,3,3.11,2.38,240.03,26.37037037
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,2,3.1,5,3.12,3.22,2.62,236.25,26.44444444
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,3,3,5,3,3.44,2.12,243.18,26.44444444
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,1,3.1,4.89,3.5,3.22,2.62,245.7,23.74074074
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,2,2.9,4.89,2.88,2.89,2.25,240.03,23.77777778
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,3,3,5,3,3.22,2.25,248.85,23.62962963
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,1,3,4.89,3,3.11,2.25,241.29,27.33333333
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,2,2.9,5,3.25,3.22,2.25,241.29,27.88888889
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,3,2.9,5,3.12,3.22,2.12,236.88,29
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,1,3.2,4.89,3.12,3.22,2.5,243.81,27.33333333
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,2,3,4.89,3.12,3.11,2.25,241.29,28.33333333
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,3,3,5,3,3.33,2.25,243.18,24.62962963
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,1,2.7,4.89,3.38,3.22,2.5,243.81,25.48148148
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,2,3.2,4.89,3.12,2.89,2.5,243.18,22.85185185
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,3,2.5,5,3,3.11,2.38,246.96,24.18518519
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,1,3.2,5,2.88,3.22,2.38,238.14,25.66666667
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,2,3.1,5,3,3.33,2.25,236.88,25.11111111
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,3,3.2,5,3,3.33,2.25,236.25,26.77777778
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,1,2.7,4.78,3,3.44,2.25,246.96,25.40740741
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,2,2.8,5,3.12,3.22,1.75,241.29,23.96296296
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,3,3,5,3.12,3.22,2.5,243.81,25.74074074
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",1,1,2.9,4.67,2.75,3.44,2.12,245.07,22.07407407
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",1,2,2.9,4.89,3,3.44,2.38,243.18,22.77777778
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",1,3,2.9,5,2.62,3.33,1.88,238.77,21.33333333
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,1,2.6,4.11,3.12,3.11,3.12,212.94,28.03703704
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,2,2.6,4.56,2.88,3.11,3.25,228.06,28.25925926
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,3,2.6,4.67,3,3.44,3.12,209.16,27.66666667
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,1,2.6,3.44,3.38,3.89,3.5,217.98,24.62962963
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,2,2.5,3.56,3.12,3.44,2.5,212.94,25.55555556
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,3,2.7,4,2.88,3.33,3.12,216.09,24.77777778
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,1,2.7,3.89,3.25,2.78,2.5,192.78,24.18518519
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,2,3.1,4.44,2.62,3.56,3.38,207.9,22.48148148
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,3,3.1,4.33,3,3.11,2.38,214.2,24.25925926
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,1,2.7,4.33,3.12,3.44,3.25,217.98,27.37037037
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,2,2.6,4.33,3,3.33,2.88,219.87,26.11111111
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,3,2.8,4.56,3.5,3.33,3.12,221.76,27.88888889
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,1,3.4,3.67,3.5,2.89,2.5,204.12,20.85185185
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,2,2.6,4.56,3.12,3,3.38,207.27,22.37037037
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,3,2.8,4.44,3,3.11,3.38,217.98,24.25925926
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,1,3,3.78,3.12,2.89,3.25,199.08,20.85185185
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,2,3.5,3.11,2.75,3.22,2.88,211.05,20.37037037
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,3,3.4,3.78,3.38,2.33,2.38,212.31,21.44444444
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,1,2.6,4.56,2.62,3.11,3,212.94,27.22222222
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,2,2.8,3.67,2.88,3.44,2.5,214.2,23.25925926
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,3,3.1,4.11,3,3.44,3,212.94,26.2962963
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,1,2.6,4.44,3.25,3.56,3,214.2,22.55555556
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,2,3,4,3.25,3.22,2.38,202.86,23.7037037
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,3,2.4,4.44,2.75,3.44,3.25,216.72,24.77777778
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",1,1,2.5,3.78,3,3.22,2.5,217.98,22.07407407
