Model,type,Persona,persona_index,Persona_Content,temp,run,openeness,consciencienes,extraversion,agreeableness,neuroticism,self_regulation,CCT_cold_avg
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.6,4.89,3.5,4.33,1.75,252,15.7037037
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.9,4.89,3.5,4.22,1.88,255.15,16.7037037
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.8,4.89,3.75,3.89,2,248.85,19.66666667
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.8,4.89,4.38,4.44,2,252,19
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.9,4.78,3.75,4,2,245.7,18.37037037
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,4.1,4.78,3.5,4.22,1.75,248.22,16.92592593
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.7,4.78,3.5,4,1.75,243.18,15.59259259
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,4.2,4.78,3.38,4.44,1.75,250.11,16.33333333
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,4,5,3.5,4.22,1.88,248.22,16.25925926
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,4,4.89,3.5,4,1.5,250.11,15.96296296
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.9,4.78,3.5,4.22,1.62,245.7,15.40740741
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.9,4.89,3.5,4.11,1.62,243.81,18.07407407
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.8,4.78,3.25,4.33,1.75,246.96,19
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,4.2,4.89,3.5,4.11,1.88,245.07,17.07407407
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.4,4.78,3.62,4.33,1.88,246.96,15.85185185
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.6,4.89,3.12,4,1.75,248.85,18.25925926
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,4.2,4.78,3.25,4.33,2.12,248.85,17.07407407
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.1,5,3,3.67,2,270.9,28.03703704
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.1,5,2.88,3.67,2,269.01,28.03703704
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.1,5,3,3.67,2,272.16,27.59259259
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.1,5,3.12,3.67,2,270.9,27.74074074
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.1,5,2.88,4,2,270.27,28.40740741
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.1,5,3,3.78,2,269.01,28.33333333
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3,5,3.5,3.89,2.12,269.01,27.96296296
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.2,5,2.88,3.89,1.88,270.27,28.03703704
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.2,5,2.88,4,1.88,269.01,28.40740741
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3,5,2.88,3.89,1.88,267.75,25.96296296
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,2.9,5,2.88,3.67,1.88,267.75,26.33333333
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3,5,2.88,3.78,1.88,267.12,26.25925926
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3,5,2.62,3.67,2,269.01,27.22222222
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3,5,2.75,3.78,1.88,269.01,26.62962963
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3,5,2.75,3.67,1.88,267.12,27
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.1,5,3,3.56,1.75,270.27,26.81481481
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,2.9,5,2.88,3.89,2.12,267.75,27.77777778
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.1,5,2.88,3.78,2,270.27,26.85185185
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,2.7,5,2.62,3.78,2.25,265.86,25.66666667
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,2.8,5,2.62,3.67,1.88,265.23,26.03703704
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,2.7,5,2.62,3.67,2,262.71,26.03703704
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,2.7,5,2.38,3.67,1.88,267.12,26.03703704
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,2.7,5,2.75,3.78,2.12,265.86,25.66666667
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,2.8,5,2.5,3.67,2.12,265.23,25.66666667
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,2.7,5,2.62,3.44,2.25,263.97,26.03703704
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,2.7,5,2.62,3.56,2,262.08,27.66666667
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,2.8,5,2.25,3.67,2.12,263.97,27.66666667
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.3,4.89,3.25,2.78,3.12,226.17,26.92592593
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.3,5,3.25,3.22,2.88,219.87,26.59259259
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.4,4.67,3.25,3,3.12,216.72,25.96296296
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.4,4.11,3.12,3,3.25,221.13,24.37037037
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.3,4.11,3.38,3.22,3.12,234.99,21.74074074
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.8,4.67,3,3.22,3,226.8,19.85185185
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.1,4.44,2.38,3,3,211.05,20.07407407
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.2,4.78,3.12,3.44,3.5,224.28,22.59259259
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,2.9,4.78,2.88,3.44,2.25,224.91,20.85185185
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.6,4.56,2.88,3.33,2.88,221.76,25.25925926
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.2,4.89,3.38,3.11,3.38,226.17,26.18518519
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.5,4.67,3,3.22,3,212.94,25.59259259
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.1,4.67,3.5,3,2.62,226.17,23.44444444
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.1,4.56,3.5,3.44,2.12,226.8,24.2962963
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.4,4.44,2.75,3.78,2.75,234.99,21.59259259
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3,4.56,3.5,3.56,2.62,229.95,20.81481481
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.3,4.33,3.5,3.56,3.25,219.87,20.18518519
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.5,4.33,2.88,3,2.75,226.8,22.07407407
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.2,4.67,3.25,2.89,2.75,204.75,21.11111111
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.5,4.89,3.25,3.44,2.88,216.72,22.51851852
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.4,4.67,3.25,3.22,3,207.9,22.33333333
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.3,4.11,3.25,3.33,2.5,223.02,21.44444444
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.6,4,3.12,3.11,3,219.24,20.62962963
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.3,4.22,3.25,3.33,2.62,223.02,21.55555556
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.5,3.89,2.88,3.44,2.88,216.72,17.55555556
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.5,4,3,3.56,3.25,214.83,19.37037037
meta-llama/Llama-3.2-3B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.3,4.11,2.62,3,2.38,228.06,20.22222222
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3,5,3.75,3.11,1.88,250.11,27.88888889
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.2,5,3.75,3.33,1.75,250.11,28.44444444
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.2,5,3.5,3.33,1.75,253.26,27.88888889
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.1,5,3.38,3.44,1.75,243.18,27.66666667
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.2,5,3.5,3.22,2,238.77,25.37037037
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.4,5,3.62,3.33,2,250.11,26.88888889
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.2,5,3.25,3.67,2,240.03,23.96296296
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.6,5,3.5,3.11,2,250.11,23.37037037
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.6,5,3.5,3.78,2.25,241.92,23.66666667
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.2,5,3.12,3.67,1.88,248.85,28.44444444
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.2,5,3.38,3.56,1.88,243.81,27.88888889
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.2,5,3,3.22,1.75,241.92,26.22222222
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.4,5,3.38,3.44,2,245.7,25.62962963
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.1,5,3.38,3.33,2.12,243.18,24.2962963
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.4,5,3.38,3.22,1.75,250.74,25.77777778
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.2,4.89,3.38,3.22,1.75,236.88,21.81481481
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,2.5,5,3,3.44,2,245.7,23.88888889
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,2.9,5,2.88,3.33,1.5,243.81,23.88888889
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.1,5,2.75,3.56,2.12,241.92,24
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.1,5,2.62,3.56,1.88,236.25,23.51851852
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,2.9,5,2.5,3.44,2.12,238.77,24
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.4,5,2.88,3.67,2.12,241.29,22.81481481
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.3,5,2.88,3.33,2,241.29,22.7037037
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.2,5,2.62,3.33,2.12,240.03,22.37037037
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.2,5,2.5,3.33,1.75,243.18,19.2962963
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.1,4.89,2.75,3.33,1.88,236.25,20.14814815
meta-llama/Meta-Llama-3-8B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.4,4.89,3.25,3.56,1.88,231.84,19.40740741
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.2,4.67,3,3.78,2.5,219.87,28.59259259
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,2.9,4.56,3.38,3.44,2.38,219.87,27.85185185
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,2.9,4.56,3.25,3.78,2.12,219.24,24.88888889
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3,4.56,3.75,3.11,2.38,217.98,24.2962963
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,2.8,4.22,3,3.11,2.12,216.09,24.74074074
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.2,4,2.62,3.44,2.38,209.16,23.85185185
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,2.7,4.44,2.75,3,3.25,224.28,22.37037037
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,2.9,4.22,3.5,3.22,2.38,217.98,23.33333333
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.2,3.67,3.88,3.56,2.75,204.75,19.51851852
